oldtrade,sell
oldtrade,buy,8400,Linen
walk,-10722,2539,80
walk,-10725,2560,80
walk,-10727,2587,79
walk,-10729,2616,79
walk,-10734,2638,80
walk,-10762,2641,80
walk,-10800,2641,80
walk,-10835,2640,80
walk,-10867,2641,80
walk,-10899,2641,80
walk,-10938,2641,80
walk,-10970,2642,79
walk,-11007,2643,79
walk,-11034,2644,79
walk,-11073,2645,-1
walk,-11111,2645,7
walk,-11142,2646,7
walk,-11172,2647,0
walk,-11189,2638,-10
walk,-11206,2610,-21
walk,-11223,2587,-32
walk,-11256,2563,-87
walk,-11285,2554,-109
walk,-11314,2548,-118
walk,-11345,2530,-149
walk,-11365,2514,-154
walk,-11376,2487,-145
walk,-11383,2463,-142
walk,-11395,2446,-137
walk,-11424,2433,-137
walk,-11434,2423,-137
walk,-11452,2388,-130
walk,-11466,2360,-130
walk,-11481,2331,-133
walk,-11495,2300,-121
walk,-11506,2265,-98
walk,-11507,2232,-91
walk,-11502,2200,-61
walk,-11500,2174,-15
walk,-11499,2141,-3
walk,-11509,2105,0
walk,-11518,2066,-9
walk,-11523,2025,0
walk,-11538,1995,0
walk,-11557,1956,0
walk,-11571,1915,0
walk,-11567,1890,0
walk,-11561,1866,-3
walk,-11547,1846,1
walk,-11538,1823,-10
walk,-11537,1780,-52
walk,-11533,1735,-46
walk,-11531,1708,-1
walk,-11529,1661,0
walk,-11521,1628,0
walk,-11503,1599,0
walk,-11493,1566,0
walk,-11504,1522,-1
walk,-11523,1490,0
walk,-11532,1458,-1
walk,-11529,1424,-12
walk,-11520,1396,-18
walk,-11508,1363,-54
walk,-11496,1319,-146
walk,-11481,1292,-171
walk,-11456,1270,-178
walk,-11427,1258,-179
walk,-11423,1259,-179
walk,-11427,1249,-146
walk,-11427,1232,-49
walk,-11426,1197,-72
walk,-11427,1166,-155
wait,500
teleport,Harbor Manager Gale,Pirate Morgun
wait,500
walk,-8703,2241,-3
walk,-8675,2260,8
walk,-8652,2268,21
walk,-8620,2273,0
walk,-8579,2271,0
walk,-8540,2277,13
walk,-8503,2285,18
walk,-8466,2296,7
walk,-8435,2297,14
walk,-8392,2291,34
walk,-8367,2296,52
walk,-8332,2296,62
walk,-8294,2302,61
walk,-8254,2305,63
walk,-8229,2304,88
walk,-8189,2304,107
walk,-8150,2304,132
walk,-8116,2303,167
walk,-8080,2303,179
walk,-8033,2305,179
walk,-7982,2306,171
walk,-7937,2312,176
walk,-7905,2323,202
walk,-7870,2356,168
walk,-7853,2384,188
walk,-7832,2413,185
walk,-7801,2440,180
walk,-7770,2462,180
walk,-7729,2457,180
walk,-7708,2440,200
walk,-7674,2428,217
walk,-7637,2414,222
walk,-7595,2398,263
walk,-7562,2384,308
walk,-7514,2358,320
walk,-7489,2327,333
walk,-7475,2295,358
walk,-7451,2260,369
walk,-7405,2229,349
walk,-7362,2226,313
walk,-7313,2211,236
walk,-7270,2195,209
walk,-7230,2188,197
walk,-7192,2189,181
walk,-7143,2195,180
walk,-7093,2216,178
walk,-7049,2235,187
walk,-7010,2249,203
walk,-6990,2285,206
